objid,ra,dec,is_star,flux_r_nmgy,color_ug,color_gr,color_ri,color_iz,gal_frac_dev,gal_axis_ratio,gal_radius_px,gal_angle_deg,log_flux_r
8647474692482204271,0.571220681079198,0.508670260707034,false,59.04245880858038,1.557604072477277,0.746944501434484,0.3648853944165758,0.3319757437284209,0.5954208374023438,0.29704806208610535,6.544322678537079,59.92897415161133,4.078256825911821
8647474692482204796,0.506349947180108,0.502772316403267,true,0.3549130063774576,,,1.9828224556090004,1.000262381338526,,,,,-1.0358825719948468
8647474692482205003,0.583564642803862,0.589767283580116,false,1.5298543546009171,0.4321859791354869,0.7224986068476142,0.2103074726764452,0.6363146110201263,0.0,0.549575924873352,0.6664125907300699,17.128721237182617,0.4251725378019001
8647474692482204345,0.590963613100415,0.577181132525721,false,0.72392793592634,,1.0038458121669551,1.024313622802442,0.4077950851184934,0.9624744057655334,0.2306153029203415,1.1474423185743463,71.4650650024414,-0.32306342756380096
8647475121441997774,0.471600668598951,0.415563434509111,false,2.3142164584700824,-1.1163401767178511,1.1241929647285496,0.10417025137744376,0.6592642504038857,1.0,0.6137420535087585,1.82794922530049,128.2008819580078,0.8390711673828193
8647474692482139453,0.474349178105441,0.621969863970872,false,1.6562100245777132,0.40231988006041497,0.6294482017850758,0.31256359638117287,-0.33355802893321035,0.0,0.5767744183540344,2.4631693206652243,55.22496032714844,0.5045318743570926
8647474692482139105,0.459380127894122,0.553120149990947,false,6.203175322702545,0.6213979085804513,1.092514859369221,0.4742711108343255,0.4008590506047168,0.0,0.5657331943511963,3.317166458476674,17.27461814880371,1.8250613097705894
8647474692482204148,0.514386731499072,0.609346773219413,false,4.313718883816814,0.674515581740509,0.6302472516435409,0.3622776201273691,0.30874751242819976,1.0,0.7744555473327637,2.3476093104391387,151.3296661376953,1.4618003821480337
8647474692482205300,0.506743030674059,0.57601673311801,false,1.1782541716442514,-0.6616888283239791,1.6727694516712597,0.8244461313602888,0.4880482743059,0.0,0.7008588910102844,1.0051947802004189,101.54517364501952,0.16403382735797856
8647474692482140503,0.460382669392557,0.456762443302179,false,0.9889466589220076,0.003991353697142232,0.831437012120964,0.41708444079527696,0.9009767679262214,0.0,0.7799316644668579,2.304998612163043,61.68439865112305,-0.011114883169841976
8647474692482204818,0.541626223232809,0.524798695067303,false,3.603505184035999,1.0692409257482232,1.2601409987412704,0.42173563575841816,0.35165413083744046,0.0,0.27354830503463745,3.108095039020885,125.25684356689452,1.2819070339926737
8647474692482204922,0.526939655624935,0.615659674796307,false,1.443701792964358,1.271976765749286,0.5624488674594432,0.8786197616012386,-0.17728556543133164,0.902226746082306,0.09031827002763748,1.4027287863721751,58.704551696777344,0.36721050457594584
8647474692482204153,0.513087722411913,0.475519138451335,false,10.888808125927,0.676253259701905,1.0885659357094306,0.4786454663970492,0.35762639887344183,0.17770422995090485,0.8013131022453308,2.197209181207599,52.65184020996094,2.3877354843001424
8647474692482140607,0.480120646579818,0.601328589669398,false,1.2058260670461498,-0.4476356260838024,0.3857932767802803,0.9565184952880164,0.5051111470142875,0.9110833406448364,0.5055336952209473,1.190835478329899,86.13018798828125,0.1871648648907121
8647474692482204062,0.483926317389087,0.471181282029683,false,17.56951245618671,0.9039430261306666,0.8698858937894829,0.34573846276776676,0.2958219609355665,0.0,0.6819761395454407,3.8483558279095273,5.068516731262207,2.8661651531621386
8647474692482204079,0.490004377963845,0.447204075129218,true,2.906015342253122,1.5731499298681977,0.5064155740748656,0.22335127908628136,0.06268632675306741,,,,,1.0667828446431435
8647474692482204080,0.490209244906087,0.513539029601375,false,13.085953495720466,0.7444352768969235,0.9526535320429051,0.3348592095771362,0.3128256229233455,0.0,0.8608524799346924,2.6189007542350073,84.96517181396484,2.5715394026983365
8647474692482204628,0.5668156322751,0.559077001765096,false,2.64627005054054,0.7897816528659836,0.8807036594645702,0.3503213732131593,0.35354469237462516,0.9296647906303406,0.4296517074108124,0.6564414561396897,51.60935974121094,0.9731511204020646
