name,percentile
color_ug,0.7296
color_ug,0.04
color_ug,0.1568
color_ug,0.0064
color_ug,0.9088
color_ug,0.72
color_ug,0.8384
color_ug,0.8544
color_ug,0.984
color_ug,0.1296
color_ug,0.9984
color_ug,0.0016
color_ug,0.0
color_ug,
color_ug,0.2704
color_ug,0.608
color_ug,
color_ug,0.1488
color_ug,0.8784
color_ug,0.2832
color_ug,0.2976
color_ug,0.3024
color_ug,0.2384
color_ug,0.0
color_ug,0.2656
color_ug,
color_ug,0.7824
color_ug,0.9792
color_ug,
color_ug,
color_ug,0.4416
color_ug,0.0368
color_ug,0.0112
color_ug,0.8048
color_ug,1.0
color_ug,0.9504
color_ug,
color_ug,0.0
color_ug,0.2192
color_ug,0.0224
color_ug,0.6656
color_ug,0.0016
color_ug,0.0
color_ug,0.1008
color_ug,0.8192
color_ug,
color_ug,0.1456
color_ug,0.8448
color_ug,0.928
color_ug,0.9984
color_ug,0.6128
color_ug,0.0
color_ug,
color_ug,0.4928
color_ug,0.1328
color_ug,0.0752
color_ug,0.9488
color_ug,0.1136
color_ug,
color_ug,0.096
color_ug,0.5408
color_ug,
color_ug,0.8816
color_ug,0.0048
color_ug,0.0016
color_ug,0.9984
color_ug,0.0064
color_ug,
color_ug,0.9776
color_ug,0.9824
color_ug,0.8896
color_ug,0.5056
color_ug,0.9648
color_ug,0.7104
color_ug,0.6016
color_ug,0.1392
color_ug,0.0336
color_ug,0.8
color_ug,0.9952
color_ug,0.6832
color_ug,0.472
color_ug,0.0976
color_ug,
color_ug,0.9872
color_ug,0.1568
color_ug,0.3472
color_ug,
color_ug,0.968
color_ug,0.52
color_ug,0.2384
color_ug,0.2112
color_ug,0.9968
color_ug,0.2496
color_ug,0.0768
color_ug,
color_ug,0.944
color_ug,
color_ug,0.0
color_ug,0.8864
color_ug,0.0272
color_ug,0.976
color_ug,0.0
color_ug,0.3616
color_ug,0.9344
color_ug,0.528
color_ug,
color_ug,
color_ug,0.5328
color_ug,0.5488
color_ug,0.088
color_ug,0.92
color_ug,0.1904
color_ug,
color_ug,0.4592
color_ug,
color_ug,
color_ug,0.2016
color_ug,0.288
color_ug,0.1536
color_ug,
color_ug,
color_ug,
color_ug,0.0816
color_ug,0.44
color_ug,0.1312
color_ug,0.5856
color_ug,0.0016
color_ug,0.1296
color_ug,0.8608
color_ug,0.3392
color_ug,
color_ug,0.1424
color_ug,0.9296
color_ug,0.7568
color_ug,0.408
color_ug,0.5424
color_ug,0.0976
color_gr,0.3152
color_gr,0.0736
color_gr,0.2448
color_gr,0.4368
color_gr,0.512
color_gr,0.0944
color_gr,0.768
color_gr,0.4064
color_gr,0.9632
color_gr,0.9312
color_gr,0.9744
color_gr,0.8784
color_gr,1.0
color_gr,0.848
color_gr,0.328
color_gr,0.2224
color_gr,0.9696
color_gr,0.9856
color_gr,0.8064
color_gr,0.016
color_gr,0.9648
color_gr,0.6096
color_gr,0.5392
color_gr,0.4768
color_gr,0.6208
color_gr,0.9872
color_gr,0.6672
color_gr,0.9392
color_gr,0.7472
color_gr,0.36
color_gr,0.4
color_gr,0.3264
color_gr,0.5072
color_gr,0.3104
color_gr,0.5104
color_gr,0.0576
color_gr,0.64
color_gr,0.9184
color_gr,0.4048
color_gr,0.8592
color_gr,0.4672
color_gr,0.2992
color_gr,0.6672
color_gr,0.8528
color_gr,0.7664
color_gr,0.0032
color_gr,0.2544
color_gr,0.072
color_gr,0.9824
color_gr,0.64
color_gr,0.496
color_gr,0.2272
color_gr,0.6704
color_gr,0.992
color_gr,0.5936
color_gr,0.4064
color_gr,0.0688
color_gr,0.6224
color_gr,0.0
color_gr,0.9728
color_gr,0.6704
color_gr,0.072
color_gr,0.6208
color_gr,0.7376
color_gr,0.36
color_gr,0.0176
color_gr,0.0112
color_gr,0.024
color_gr,0.0256
